,code,dept,title,min_units,description,prereqs
151,MAE 290B,MAE,Numerical Methods for Differential Equations (4),4.0,"Numerical solution of differential equations in mathematical physics and engineering, ordinary and partial differential equations. Linear and nonlinear hyperbolic parabolic, and elliptic equations, with emphasis on prototypical cases, the convection-diffusion equation, Laplace’s and Poisson equation. Finite difference methods. Prerequisites: MAE 290A or consent of instructor.",MAE 290A or consent of instructor
152,MAE 290C,MAE,Computational Fluid Dynamics (4),4.0,"Numerical methods in fluid dynamics and convective transport processes. Numerical solution of the Euler and Navier-Stokes equation. Additional topics will vary according to instructor. Examples include eigenvalue problems in hydrodynamic stability, vortex methods, spectral and panel methods. Students may not receive credit for both MAE 290C and MAE 223. Prerequisites: MAE 210A-B, 290A-B.","MAE 210A-B, 290A-B"
153,MAE 291,MAE,Design and Mechanics in Computer Technology (4),4.0,"Design and mechanics problems inherent in computer peripherals such as disk files, tape drives, and printers. Formulation and solution of problems involving mechanics, fluid mechanics, and materials; Reynolds equation, slider bearings; friction and wear; actuator design, impact printing; silicon fluid jets. Prerequisites: consent of instructor. (Not offered every year.)",consent of instructor (Not offered every year)
154,MAE 292,MAE,Computer-Aided Design and Analysis (4),4.0,"Introduction to 2-D and 3-D computer-aided design. Design problems may include: ball bearing kinematics, Weibull statistics, nonrepeatable spindle run-out, four bar linkages, beam deflection and vibration, design of magnetic head suspension, hydrodynamic theory of lubrication, air bearings, heat transfer, optical servo, design of ink jet print head. Prerequisites: consent of instructor. (Not offered every year.)",consent of instructor (Not offered every year)
155,MAE 293,MAE,Flow Control (4),4.0,"Intersection of control theory and fluid mechanics. Applications: transition delay, turbulence mitigation, noise reduction, weather forecasting, shape optimization, and UAV’s (perching). Tractable feedback (Riccati-based) formulations via parallel and parabolic flow assumptions. Regularization of variational (adjoint-based) formulations for MPC and MHE. EnKF and EnVE approaches for forecasting. Prerequisites: MAE 290A or consent of instructor.",MAE 290A or consent of instructor
156,MAE 294A,MAE,Introduction to Applied Mathematics (4),4.0,(Cross-listed with SIO 203A.) Review of exact methods for ordinary differential equations. Expansions about regular and irregular singular points. Introduction to asymptotic expansions. Approximate methods for nonlinear differential equations. Regular and singular perturbation theory. Additional topics depending upon the interests of the instructor.,
157,MAE 294B,MAE,Introduction to Applied Mathematics II (4),4.0,"(Cross-listed with SIO 203B.) Asymptotic methods: method of steepest descent (if not covered in I) WKB, method of multiple scales, boundary layer theory. Elements of complex analysis. Prerequisites: MAE 294A or SIO 203A or consent of instructor.",MAE 294A or SIO 203A or consent of instructor
158,MAE 294C,MAE,Introduction to Applied Mathematics III (4),4.0,"(Cross-listed with SIO 203C.) Partial differential equations: characteristics, similarity solutions, Green’s functions, images, wave equation, diffusion equation, Laplace’s equation. Applications to continuum mechanics, potential fields, and transport phenomena such as diffusion, linear and nonlinear waves, Burger’s equation and shocks. Other topics according to the interests of the instructor. Prerequisites: MAE 294B, or SIO 203B, or SIO 215B, or consent of instructor.","MAE 294B, or SIO 203B, or SIO 215B, or consent of instructor"
159,MAE 295,MAE,Field Study (1–12),1.0,Provides field study in industry with faculty supervision. Analysis and problem solving using real world applications. Prerequisites: consent of adviser and department; 3.0 GPA.,consent of adviser and department; 30 GPA
160,MAE 296,MAE,Independent Study (1–4),1.0,Independent reading or research on a problem as arranged by a designated faculty member. Must be taken for a letter grade only. Prerequisites: consent of instructor.,consent of instructor
161,MAE 298,MAE,Directed Group Study (1–4),1.0,"Directed group study on a topic or in a field not included in regular department curriculum, by special arrangement with a faculty member. Prerequisites: consent of instructor. (S/U grades permitted.)",consent of instructor (S/U grades permitted)
162,MAE 299,MAE,Graduate Research (1–12),1.0,Independent work by graduate students engaged in research and writing theses. MAE graduate students only. (S/U grades only.),
163,MAE 501,MAE,Teaching Experience (2),2.0,Teaching experience in an appropriate MAE undergraduate course under direction of the faculty member in charge of the course. Lecturing one hour per week in either a problem-solving section or regular lecture. (S/U grade only.) Prerequisites: consent of instructor and the MAE department.,consent of instructor and the MAE department
164,MDE 209,MDE,Mechanics and Transport Phenomena for Biomedical Device Design (4),4.0,Introduction to the basic definitions of continuum mechanics and their mathematical formulation at the graduate level with applications to problems in medicine and biology. Prerequisites: MDE students only.,MDE students only
165,MDE 210,MDE,Medical Devices: Clinical Perspectives (4),4.0,"This course is a seminar series with invited clinician speakers intended to address needs and opportunities for meaningful application of engineering principles in clinical practice, with emphasis on next generation medical devices. Prerequisites: MDE students only.",MDE students only
166,MDE 225A,MDE,Biobusiness: Small to Large I (2),2.0,"First in a two-quarter series focusing on early stages of a business plan. Biotech is a special breed of business, especially in the start-up and early phases. You will study and analyze (1) start-up proposals, (2) the genesis of the biotech industry, (3) biotech categories and growth strategies, (4) the process of spinning out viable product concepts from academia, (5) financing techniques, (6) business development, (7) acquisition/IPO valuation methods, and (8) potentially disruptive technologies. Students may not receive credit for both MDE 225 and MDE 225A. Prerequisites: MDE students only.",MDE students only
167,MDE 225B,MDE,Biobusiness: Small to Large II (2),2.0,"Second in a two-quarter series focusing on finalizing and completing a business plan. In this course, you will study and analyze (1) start-up proposals, (2) the genesis of the biotech industry, (3) biotech categories and growth strategies, (4) the process of spinning out viable product concepts from academia, (5) financing techniques, (6) business development, (7) acquisition/IPO valuation methods, and (8) potentially disruptive technologies to finalize your business plan. Students may not receive credit for both MDE 225 and MDE 225B. Prerequisites: MDE 225A. MDE students only.",MDE 225A MDE students only
168,MDE 230,MDE,Life Sciences and Technologies (4),4.0,A general survey of modern high-throughput instruments used for imaging and analyzing structure-function relationships at the molecular and cellular levels. An overview of potential human genomic and systems approaches for designing and validating medical device safety and performance. Prerequisites: MDE students only.,MDE students only
169,MDE 231A,MDE,Fundamentals of Physiology and Anatomy I (2),2.0,A basic introduction to human physiology and anatomy form and function as it relates to clinical perspectives on patient needs. Students may not receive credit for both MDE 231A and MDE 231. Prerequisites: MDE students only.,MDE students only
170,MDE 231B,MDE,Fundamentals of Physiology and Anatomy II (2),2.0,Case studies of integrative physiology to understand how this information is used in designing combination medical devices and instruments for diagnosis or research. Students may not receive credit for both MDE 231A and MDE 231. Prerequisites: MDE 231A. MDE students only.,MDE 231A MDE students only
171,MDE 240,MDE,Embedded System Design (4),4.0,"This course gives an introduction to digital signal processing (DSP) techniques and data-based parameter estimation (DBPE) techniques for the measurement, filtering, and analysis of experimental data obtained with embedded systems in medical devices. Prerequisites: consent of instructor. MDE students only.",consent of instructor MDE students only
172,MDE 260A,MDE,Design and Implementation of Medical Device Technology I (1),1.0,"Introduction of project-based course in medical device engineering, medical product regulation, quality systems and standards, engineering project management, and business development. Prerequisites: MDE students only.",MDE students only
173,MDE 260B,MDE,Design and Implementation of Medical Device Technology II (2),2.0,"Second of a three-quarter sequence, project-based course in medical device engineering, medical product regulation, quality systems and standards, engineering project management, and business development. Students will begin to design a medical device and an engineering strategy. Prerequisites: MDE 260A and consent of instructor. MDE students only.",MDE 260A and consent of instructor MDE students only
174,MDE 260C,MDE,Design and Implementation of Medical Device Technology III (1),1.0,"Third of a three-quarter sequence, project-based course in medical device engineering, medical product regulation, quality systems and standards, engineering project management, and business development. Students will complete and implement their medical device design and engineering strategy. Prerequisites: MDE 260B and consent of instructor. MDE students only.",MDE 260B and consent of instructor MDE students only
175,MDE 266,MDE,Biomaterials for Medical Device Design (4),4.0,"This class will cover biomaterials and biomimetic materials. Metal, ceramic, and polymer biomaterials will be discussed. Emphasis will be on the structure-property relationships, biocompatibility/degradation issues, and tissue/material interactions. Synthesis and mechanical testing of biomimetic materials will also be discussed. Prerequisites: consent of instructor. MDE students only.",consent of instructor MDE students only
176,MDE 292,MDE,Computer Aided Design of Medical Devices (4),4.0,"Computer-aided analysis and design with applications to medical devices. Solid model representation, finite element analysis for strength and deformation, material selection, kinematics, statistical analysis, and visualization of analytical results. Software packages used will include 3-D CAD, FEA solvers, and student generated code. Analytical methods will be applied to case studies of medical devices. Prerequisites: MDE students only.",MDE students only
0,NANO 4,NANO,Experience NanoEngineering (1),1.0,"Introduction to NanoEngineering lab-based skills. Hands-on training and experimentation with nanofabrication techniques, integration, and analytical tools. This class is for NANO majors who are incoming first-year students, to be taken their first year. This class is for NanoEngineering majors who are incoming first-year students, to be taken their first year. P/NP grades only. Prerequisites: department approval required.",department approval required
1,NANO 11,NANO,Introduction to NanoEngineering (4),4.0,"Introduction to NanoEngineering, including fundamental scaling laws, and an overview of nanomaterials synthesis, properties, and relevant technological applications with focus in the area of nanomedicine, energy, and advanced materials. Prerequisites: NANO 4.",NANO 4
2,NANO 15,NANO,Engineering Computation Using Matlab (4),4.0,"Introduction to the solution of engineering problems using computational methods. Formulating problem statements, selecting algorithms, writing computer programs, and analyzing output using Matlab. Computational problems from NanoEngineering, chemical engineering, and materials science are introduced. The course requires no prior programming skills. Cross-listed with CENG 15.",
3,NANO 15R,NANO,Engineering Computation Using Matlab Online (4),4.0,"Introduction to solution of engineering problems using computational methods. Formulating problem statements, selecting algorithms, writing computer programs, and analyzing output using Matlab. Computational problems from NanoEngineering, chemical engineering, and materials science are introduced. This is a fully online, self-paced course that utilizes multi-platform instructional techniques (video, text, and instructional coding environments). The course requires no prior programming skills. Cross-listed with CENG 15R.",
4,NANO 20L,NANO,Introduction to Nanomaterials Synthesis Lab (1),1.0,Lab-based course to introduce the chemical synthesis of nanomaterials. Hands-on training in chemical synthesis and basic characterization tools. Program or materials fees may apply. Prerequisites: NANO 4.,NANO 4
5,NANO 100L,NANO,Physical Properties of Materials Lab (4),4.0,"Experimental investigation of physical properties of materials such as: thermal expansion coefficient, thermal conductivity, glass transitions in polymers, resonant vibrational response, longitudinal and shear acoustic wave speeds, Curie temperatures, UV-VIS absorption and reflection. Prerequisites: NANO 108.",NANO 108
6,NANO 101,NANO,Introduction to NanoEngineering (4),4.0,"Introduction to NanoEngineering; nanoscale fabrication: nanolithography and self-assembly; characterization tools; nanomaterials and nanostructures: nanotubes, nanowires, nanoparticles, and nanocomposites; nanoscale and molecular electronics; nanotechnology in magnetic systems; nanotechnology in integrative systems; nanoscale optoelectronics; nanobiotechnology: biomimetic systems, nanomotors, nanofluidics, and nanomedicine. Priority enrollment given to NanoEngineering majors. Prerequisites: NANO 1 or NANO 4, CHEM 6B, PHYS 2B, MATH 20C, and CENG 15 or CENG 15R or NANO 15 or NANO 15R or MAE 8. Restricted to major code NA25.","NANO 1 or NANO 4, CHEM 6B, PHYS 2B, MATH 20C, and CENG 15 or CENG 15R or NANO 15 or NANO 15R or MAE 8 Restricted to major code NA25"
7,NANO 102,NANO,Foundations in NanoEngineering: Chemical Principles (4),4.0,"Chemical principles involved in synthesis, assembly, and performance of nanostructured materials and devices. Chemical interactions, classical and statistical thermodynamics of small systems, diffusion, carbon-based nanomaterials, supramolecular chemistry, liquid crystals, colloid and polymer chemistry, lipid vesicles, surface modification, surface functionalization, catalysis. Priority enrollment given to NanoEngineering majors. Prerequisites: CHEM 6C, MATH 20D, NANO 101, PHYS 2D, and NANO 106. Restricted to NanoEngineering majors or by department approval.","CHEM 6C, MATH 20D, NANO 101, PHYS 2D, and NANO 106 Restricted to NanoEngineering majors or by department approval"
8,NANO 104,NANO,Foundations in NanoEngineering: Physical Principles (4),4.0,"Introduction to quantum mechanics and nanoelectronics. Wave mechanics, the Schrödinger equation, free and confined electrons, band theory of solids. Nanosolids in 0D, 1D, and 2D. Application to nanoelectronic devices. Priority enrollment given to NanoEngineering majors Prerequisites: MATH 20D, NANO 101. Department approval required.","MATH 20D, NANO 101 Department approval required"
9,NANO 106,NANO,Crystallography of Materials (4),4.0,"Fundamentals of crystallography, and practice of methods to study material structure and symmetry. Curie symmetries. Tensors as mathematical description of material properties and symmetry restrictions. Introduction to diffraction methods, including X-ray, neutron, and electron diffraction. Close-packed and other common structures of real-world materials. Derivative and superlattice structures. Prerequisites: MATH 20F or MATH 18.",MATH 20F or MATH 18
10,NANO 107,NANO,Electronic Devices and Circuits for Nanoengineers (4),4.0,"Overview of electrical devices and CMOS integrated circuits emphasizing fabrication processes, and scaling behavior. Design, and simulation of submicron CMOS circuits including amplifiers active filters digital logic, and memory circuits. Limitations of current technologies and possible impact of nanoelectronic technologies. Prerequisites: NANO 15, NANO 101, MATH 20B or MATH 20D, and PHYS 2B.","NANO 15, NANO 101, MATH 20B or MATH 20D, and PHYS 2B"
11,NANO 108,NANO,Materials Science and Engineering (4),4.0,"Structure and control of materials: metals, ceramics, glasses, semiconductors, polymers to produce useful properties. Atomic structures. Defects in materials, phase diagrams, micro structural control. Mechanical, rheological, electrical, optical and magnetic properties discussed. Time temperature transformation diagrams. Diffusion. Scale dependent material properties. Prerequisites: upper-division standing.",upper-division standing
12,NANO 110,NANO,Molecular Modeling of Nanoscale Systems (4),4.0,"Principles and applications of molecular modeling and simulations toward NanoEngineering. Topics covered include molecular mechanics, energy minimization, statistical mechanics, molecular dynamics simulations, and Monte Carlo simulations. Students will get hands-on training in running simulations and analyzing simulation results. Prerequisites: MATH 20F or MATH 18, NANO 102, NANO 104, and NANO 15 or CENG 15 or MAE 8. Restricted to NanoEngineering majors or by department approval.","MATH 20F or MATH 18, NANO 102, NANO 104, and NANO 15 or CENG 15 or MAE 8 Restricted to NanoEngineering majors or by department approval"
13,NANO 111,NANO,Characterization of NanoEngineering Systems (4),4.0,"Fundamentals and hands-on practice of methods to image, measure, and analyze materials and devices that are structured on the nanometer scale. Optical and electron microscopy; scanning probe methods; photon, ion, and electron probe methods; spectroscopic, magnetic, electrochemical, and thermal methods. Prerequisites: NANO 102.",NANO 102
14,NANO 112,NANO,Synthesis and Fabrication of NanoEngineering Systems (4),4.0,"Introduction to methods for fabricating materials and devices in NanoEngineering. Nano-particle, -vesicle, -tube, and -wire synthesis. Top-down methods including chemical vapor deposition, conventional and advanced lithography, doping, and etching. Bottom-up methods including self-assembly. Integration of heterogeneous structures into functioning devices. Prerequisites: NANO 102 and NANO 104.",NANO 102 and NANO 104
15,NANO 114,NANO,Probability and Statistical Methods for Engineers (4),4.0,"Probability theory, conditional probability, Bayes theorem, discrete random variables, continuous random variables, expectation and variance, central limit theorem, graphical and numerical presentation of data, least squares estimation and regression, confidence intervals, testing hypotheses. Cross-listed with CENG 114. Students may not receive credit for both NANO 114 and CENG 114. Prerequisites: MATH 20F or MATH 18 and NANO 15 or CENG 15 or MAE 8.",MATH 20F or MATH 18 and NANO 15 or CENG 15 or MAE 8
16,NANO 115L,NANO,Nanoengineering Laboratory (4),4.0,"Laboratory experiments in the design, production, and integration of nanoscale components. Emphasis will be on solution phase synthesis, microfabrication tools, analytical characterization, and nanodevice fabrication. Prerequisites: NANO 111.",NANO 111
17,NANO 117,NANO,Multiscale Transport (4),4.0,"Introduction to basic transport phenomena relevant to nanoscale and general materials systems, including engineering units and pressure, heat conduction and convection, momentum transport and laminar flow, and diffusion in solids and fluids. Prerequisites: upper-division standing.",upper-division standing
18,NANO 120A,NANO,NanoEngineering System Design I (4),4.0,Principles of product design and the design process. Application and integration of technologies in the design and production of nanoscale components. Engineering economics. Initiation of team design projects to be completed in NANO 120B. Prerequisites: NANO 110.,NANO 110
19,NANO 120B,NANO,NanoEngineering System Design II (4),4.0,Principles of product quality assurance in design and production. Professional ethics. Safety and design for the environment. Culmination of team design projects initiated in NANO 120A with a working prototype designed for a real engineering application. Prerequisites: NANO 120A.,NANO 120A
20,NANO 134,NANO,Polymeric Materials (4),4.0,"Foundations of polymeric materials. Topics: structure of polymers; mechanisms of polymer synthesis; characterization methods using calorimetric, mechanical, rheological, and X-ray-based techniques; and electronic, mechanical, and thermodynamic properties. Special classes of polymers: engineering plastics, semiconducting polymers, photoresists, and polymers for medicine. Cross-listed with CENG 134. Students may not receive credit for both CENG 134 and NANO 134. Prerequisites: CHEM 6C and PHYS 2C.",CHEM 6C and PHYS 2C
21,NANO 141A,NANO,Engineering Mechanics I: Analysis of Equilibrium (4),4.0,"Newton’s laws. Concepts of force and moment vector. Free body diagrams. Internal and external forces. Equilibrium of concurrent, coplanar, and three-dimensional system of forces. Equilibrium analysis of structural systems, including beams, trusses, and frames. Equilibrium problems with friction. Prerequisites: MATH 20C and PHYS 2A.",MATH 20C and PHYS 2A
22,NANO 141B,NANO,Engineering Mechanics II: Analysis of Motion (4),4.0,Newton’s laws of motion. Kinematic and kinetic ​description of particle motion. Angular momentum. Energy and work principles. Motion of the system of interconnected particles. Mass center. Degrees of freedom. Equations of planar motion of rigid bodies. Energy methods. Lagrange’s equations of motion. Introduction to vibration. Free and forced vibrations of a single degree of freedom system. Undamped and damped vibrations. Application to NanoEngineering problems. Prerequisites: MATH 20D and NANO 141A.,MATH 20D and NANO 141A
23,NANO 146,NANO,Nanoscale Optical Microscopy and Spectroscopy (4),4.0,"Fundamentals in optical imaging and spectroscopy at the nanometer scale. Diffraction-limited techniques, near-field methods, multi-photon imaging and spectroscopy, Raman techniques, Plasmon-enhanced methods, scan-probe techniques, novel sub-diffraction-limit imaging techniques, and energy transfer methods. Prerequisites: NANO 103 and 104.",NANO 103 and 104
24,NANO 148,NANO,Thermodynamics of Materials (4),4.0,Fundamental laws of thermodynamics for simple substances; application to flow processes and to nonreacting mixtures; statistical thermodynamics of ideal gases and crystalline solids; chemical and materials thermodynamics; multiphase and multicomponent equilibria in reacting systems; electrochemistry. Prerequisites: upper-division standing.,upper-division standing
25,NANO 150,NANO,Mechanics of Nanomaterials (4),4.0,"Introduction to mechanics of rigid and deformable bodies. Continuum and atomistic models, interatomic forces and intermolecular interactions. Nanomechanics, material defects, elasticity, plasticity, creep, and fracture. Composite materials, nanomaterials, biological materials. Prerequisites: NANO 108.",NANO 108
26,NANO 156,NANO,Nanomaterials (4),4.0,"Basic principles of synthesis techniques, processing, microstructural control, and unique physical properties of materials in nanodimensions. Nanowires, quantum dots, thin films, electrical transport, optical behavior, mechanical behavior, and technical applications of nanomaterials. Cross-listed with MAE 166. Prerequisites: upper-division standing.",upper-division standing
27,NANO 158,NANO,Phase Transformations and Kinetics (4),4.0,"Materials and microstructures changes. Understanding of diffusion to enable changes in the chemical distribution and microstructure of materials, rates of diffusion. Phase transformations, effects of temperature and driving force on transformations and microstructure. Prerequisites: NANO 108 and NANO 148.",NANO 108 and NANO 148
28,NANO 158L,NANO,Materials Processing Laboratory (4),4.0,"Metal casting processes, solidification, deformation processing, thermal processing: solutionizing, aging, and tempering, joining processes such as welding and brazing. The effect of processing route on microstructure and its effect on mechanical and physical properties will be explored. NanoEngineering majors have priority enrollment. Prerequisites: NANO 158.",NANO 158
29,NANO 159,NANO,Electrochemistry: Fundamentals and Applications (4),4.0,"Introduce fundamentals of electrochemical processes and electrode reactions to the principles of electrochemical techniques, instrumental requirements, and their diverse real-life applications in the energy, environmental, and diagnostics areas. Prerequisites: CHEM 6A or 6AH, CHEM 6B or 6BH, CHEM 6C or 6CH, CHEM 7L or 7LM.","CHEM 6A or 6AH, CHEM 6B or 6BH, CHEM 6C or 6CH, CHEM 7L or 7LM"
30,NANO 161,NANO,Material Selection in Engineering (4),4.0,"Selection of materials for engineering systems, based on constitutive analyses of functional requirements and material properties. The role and implications of processing on material selection. Optimizing material selection in a quantitative methodology. NanoEngineering majors receive priority enrollment. Prerequisites: NANO 108. Department approval required. Restricted to major code NA25.",NANO 108 Department approval required Restricted to major code NA25
31,NANO 164,NANO,Advanced Micro- and Nano-materials for Energy Storage and Conversion (4),4.0,"Materials for energy storage and conversion in existing and future power systems, including fuel cells and batteries, photovoltaic cells, thermoelectric cells, and hybrids. Prerequisites: NANO 101, NANO 102, NANO 148.","NANO 101, NANO 102, NANO 148"
32,NANO 168,NANO,"Electrical, Dielectric, and Magnetic Properties of Engineering Materials (4)",4.0,"Introduction to physical principles of electrical, dielectric, and magnetic properties. Semiconductors, control of defects, thin film, and nanocrystal growth, electronic and optoelectronic devices. Processing-microstructure-property relations of dielectric materials, including piezoelectric, pyroelectric and ferroelectric, and magnetic materials. Prerequisites: NANO 102 and NANO 104.",NANO 102 and NANO 104
33,NANO 174,NANO,Mechanical Behavior of Materials (4),4.0,"Microscopic and macroscopic aspects of the mechanical behavior of engineering materials, with emphasis on recent development in materials characterization by mechanical methods. The fundamental aspects of plasticity in engineering materials, strengthening mechanisms, and mechanical failure modes of materials systems. Prerequisites: NANO 108.",NANO 108
34,NANO 174L,NANO,Mechanical Behavior Laboratory (4),4.0,"Experimental investigation of mechanical behavior of engineering materials. Laboratory exercises emphasize the fundamental relationship between microstructure and mechanical properties, and the evolution of the microstructure as a consequence of rate process. Prerequisites: NANO 174.",NANO 174
35,NANO 175,NANO,NanoEngineering in Medicine (4),4.0,"Introduction to nanomedicine. Topics include nanoscale material, biological systems vs. synthetic vs. bio-inspired systems, drug and gene delivery, molecular imaging, vaccines, immunoengineering, pharmacology, clinical application in cancer, cardiovascular disease, infectious disease, immune diseases, genetic disorders, skin diseases, and regenerative medicine. Students will not receive credit for both NANO 175 and CENG 175. Prerequisites: upper-division standing.",upper-division standing
36,NANO 199,NANO,Independent Study for Undergraduates (4),4.0,Independent reading or research on a problem by special arrangement with a faculty member. P/NP grades only. Prerequisites: upper division and department stamp.,upper division and department stamp
37,NANO 200,NANO,Graduate Seminar in Chemical Engineering (1),1.0,"Each graduate student in NANO is expected to attend three seminars per quarter, of his or her choice, dealing with current topics in chemical engineering. Topics will vary. Cross-listed with CENG 205. S/U grades only. May be taken for credit four times. Prerequisites: graduate standing.",graduate standing
38,NANO 201,NANO,Introduction to NanoEngineering (4),4.0,"Understanding nanotechnology, broad implications, miniaturization: scaling laws; nanoscale physics; types and properties of nanomaterials; nanomechanical oscillators, nano(bio)electronics, nanoscale heat transfer; fluids at the nanoscale; machinery cell; applications of nanotechnology and nanobiotechnology. Students may not receive credit for both NANO 201 and CENG 211. Prerequisites: graduate standing.",graduate standing
39,NANO 202,NANO,Intermolecular and Surface Forces (4),4.0,"Development of quantitative understanding of the different intermolecular forces between atoms and molecules and how these forces give rise to interesting phenomena at the nanoscale, such as flocculation, wetting, self-assembly in biological (natural) and synthetic systems. Cross-listed with CENG 212. Students may not receive credit for both NANO 202 and CENG 212. Prerequisites: consent of instructor.",consent of instructor
40,NANO 203,NANO,Nanoscale Characterization (4),4.0,"Examination of nanoscale characterization approaches including imaging, scattering, and spectroscopic techniques and their physical operating mechanisms. Microscopy (optical and electron: SEM, TEM); scattering and diffraction; spectroscopies (EDX, SIMS, mass spec, Raman, XPS, XAS); scanning probe microscopes (SPM, AFM); particle size analysis.",
41,NANO 204,NANO,Nanoscale Physics and Modeling (4),4.0,"This course will introduce students to analytical and numerical methods such as statistical mechanisms, molecular simulations, and finite differences and finite element modeling through their application to NanoEngineering problems involving polymer and colloid self-assembly, absorption, phase separation, and diffusion. Cross-listed with CENG 214. Students may not receive credit for both NANO 204 and CENG 214. Prerequisites: NANO 202 or consent of instructor.",NANO 202 or consent of instructor
42,NANO 205,NANO,Nanosystems Integration (4),4.0,Scaling issues and hierarchical assembly of nanoscale components into higher order structures which retain desired properties at microscale and macroscale levels. Novel ways to combine top-down and bottom-up processes for integration of heterogeneous components into higher order structures. Cross-listed with CENG 215. Students may not receive credit for both NANO 205 and CENG 215. Prerequisites: consent of instructor.,consent of instructor
43,NANO 208,NANO,Nanofabrication (4),4.0,"Basic engineering principles of nanofabrication. Topics include photo-electronbeam and nanoimprint lithography, block copolymers and self-assembled monolayers, colloidal assembly, biological nanofabrication. Cross-listed with CENG 208. Students may not receive credit for both NANO 208 and CENG 208. Prerequisites: consent of instructor.",consent of instructor
44,NANO 210,NANO,Molecular Modeling and Simulations of Nanoscale Systems (4),4.0,"Molecular and modeling and simulation techniques like molecular dynamics, Monte Carlo, and Brownian dynamics to model nanoscale systems and phenomena like molecular motors, self-assembly, protein-ligand binding, RNA, folding. Valuable hands-on experience with different simulators. Prerequisites: consent of instructor.",consent of instructor
45,NANO 212,NANO,Computational Modeling of Nanosystems (4),4.0,"Various modeling techniques like finite elements, finite differences, and simulation techniques like molecular dynamics and Monte Carlo to model fluid flow, mechanical properties, self-assembly at the nanoscale, and protein, RNA and DNA folding. Prerequisites: consent of instructor.",consent of instructor
46,NANO 227,NANO,Structure and Analysis of Solids (4),4.0,"Key concepts in the atomic structure and bonding of solids such as metals, ceramics, and semiconductors. Symmetry operations, point groups, lattice types, space groups, simple and complex inorganic compounds, structure/property comparisons, structure determination with X-ray diffraction. Ionic, covalent, metallic bonding compared with physical properties. Atomic and molecular orbitals, bands verses bonds, free electron theory. Cross-listed with MATS 227, MAE 251 and CHEM 222. Prerequisites: consent of instructor.",consent of instructor
47,NANO 230,NANO,Synchrotron Characterization of Nanomaterials (4),4.0,"Advanced topics in characterizing nanomaterials using synchrotron X-ray sources. Introduction to synchrotron sources, X-ray interaction with matter, spectroscopic determination of electronic properties of nanomagnetic, structural determination using scattering techniques and X-ray imaging techniques. Cross-listed with CENG 230. Students may not receive credit for both NANO 230 and CENG 230. Prerequisites: consent of instructor.",consent of instructor
48,NANO 234,NANO,Advanced Nanoscale Fabrication (4),4.0,"Engineering principles of nanofabrication. Topics include photo-, electron beam, and nanoimprint lithography, block copolymers and self-assembled monolayers, colloidal assembly, biological nanofabrication. Relevance to applications in energy, electronics, and medicine will be discussed. Prerequisites: consent of instructor.",consent of instructor
49,NANO 238,NANO,Scanning Probe Microscopy (4),4.0,"Scanning electron microscopy (SEM) detectors, imaging, image interpretation, and artifacts, introduction to lenses, electron beam-specimen interactions. Operating principles and capabilities for atomic force microscopy and scanning tunneling microscopy, scanning optical microscopy and scanning transmission electron microscopy. Prerequisites: consent of instructor.",consent of instructor
50,NANO 241,NANO,Organic Nanomaterials (4),4.0,"This course will provide an introduction to the physics and chemistry of soft matter, followed by a literature-based critical examination of several ubiquitous classes of organic nano materials and their technological applications. Topics include self-assembled monolayers, block copolymers, liquid crystals, photoresists, organic electronic materials, micelles and vesicles, soft lithography, organic colloids, organic nano composites, and applications in biomedicine and food science. Cross-listed with CHEM 241. Prerequisites: consent of instructor.",consent of instructor
51,NANO 242,NANO,Biochemistry and Molecular Biology (4),4.0,"Course is designed to give NanoEngineering students from a variety of backgrounds a working knowledge of biochemistry and molecular biology. While the course offers biochemistry basics and key themes in molecular biology, it will emphasize the role of engineering innovations. Prerequisites: consent of instructor.",consent of instructor
52,NANO 243,NANO,Nanomedicine (4),4.0,"Introduction to nanomedicine; diffusion and drug dispersion; diffusion in biological systems; drug permeation through biological barriers; drug transport by fluid motion; pharmacokinetics of drug distribution; drug delivery systems; nanomedicine in practice: cancers, cardiovascular diseases, immune diseases, and skin diseases. Cross-listed with CENG 207. Students may not receive credit for both NANO 243 and CENG 207. Prerequisites: consent of instructor.",consent of instructor
53,NANO 244,NANO,Nanomachines and Nanorobots (4),4.0,"The structure and operational principles of different nature biomotors will be discussed. Related bio-inspired efforts aimed at developing artificial nanomotors will also be covered, along with the prospects of using biomotors and synthetic nanomotors in engineering environments. Prerequisites: consent of instructor.",consent of instructor
54,NANO 245,NANO,Nanoelectronics (4),4.0,"An introduction to the nano electronics and nanospintronics; fundamentals of semiconductors; electronic band structure theory, electron transport in semiconductors and nano structures, nano devices. Prerequisites: NANO 201 and consent of instructor.",NANO 201 and consent of instructor
55,NANO 247A,NANO,Advanced BioPhotonics (4),4.0,"Basic physics and chemistry of interaction of photons with matter; photonic radiation pressure; advanced optoelectronic detection systems, devices, methods, time-resolved fluorescent, chemiluminescent methods, fluorescent energy transfer techniques, quantum dots, near-field optical techniques, mechanisms of light sensitive biological systems including chloroplasts for photosynthetic energy conversion and basis of vision processes. Cross-listed with BENG 247A and ECE 247A. Prerequisites: consent of instructor and graduate standing.",consent of instructor and graduate standing
